kljuc_igre,kljuc_razvijalca,razvijalec
7713,666112,Midway Games
8081,666112,Midway Games
6855,666112,Midway Games
9404,666112,Midway Games
8447,666112,Midway Games
11161,666112,Midway Games
11162,666112,Midway Games
11163,666112,Midway Games
16402,666112,Midway Games
10424,666112,Midway Games
47824,666112,Midway Games
13789,666112,Midway Games
1117,666112,Midway Games
16547,666112,Midway Games
13791,666112,Midway Games
16542,666112,Midway Games
2295,666114,Black Isle Studios
235,666120,Rare
5753,666120,Rare
165,666120,Rare
49,666120,Rare
5982,666121,Midway
4032,666121,Midway
4565,666121,Midway
3999,666121,Midway
8028,666121,Midway
732,666128,Electronic Arts
11928,666128,Electronic Arts
3724,666128,Electronic Arts
378,666131,Angel Studios
33439,666140,Acclaim Entertainment
494,666147,Realtime Associates
13945,666147,Realtime Associates
5173,666149,Bits Studios
9156,666149,Bits Studios
12811,666149,Bits Studios
5192,666151,Rebellion
12006,666151,Rebellion
14297,666151,Rebellion
9226,666151,Rebellion
9507,666151,Rebellion
20125,666151,Rebellion
14296,666151,Rebellion
80620,666151,Rebellion
18325,666151,Rebellion
12345,666151,Rebellion
16118,666151,Rebellion
12010,666151,Rebellion
294,666152,Obsidian Entertainment
2144,666152,Obsidian Entertainment
3985,666152,Obsidian Entertainment
11513,666152,Obsidian Entertainment
12166,666152,Obsidian Entertainment
7851,666152,Obsidian Entertainment
11840,666152,Obsidian Entertainment
7850,666152,Obsidian Entertainment
12148,666152,Obsidian Entertainment
113730,666152,Obsidian Entertainment
16874,666152,Obsidian Entertainment
301,666155,Quantic Dream
7007,666155,Quantic Dream
8637,666155,Quantic Dream
10203,666155,Quantic Dream
34172,666155,Quantic Dream
14817,666155,Quantic Dream
33271,666155,Quantic Dream
1048,666158,Software Creations
13309,666158,Software Creations
1083,666158,Software Creations
14764,666158,Software Creations
223,666161,Interplay Productions
10764,666163,Chunsoft
12544,666163,Chunsoft
5783,666171,Tecmo
6955,666171,Tecmo
6956,666171,Tecmo
12308,666171,Tecmo
12323,666171,Tecmo
12452,666171,Tecmo
31652,666174,Activision
737,666184,id Software
871,666184,id Software
2725,666184,id Software
4202,666184,id Software
3772,666184,id Software
3610,666184,id Software
7981,666184,id Software
5775,666184,id Software
11071,666184,id Software
7270,666184,id Software
7980,666184,id Software
12071,666184,id Software
9772,666184,id Software
11077,666184,id Software
7405,666184,id Software
20389,666184,id Software
72309,666184,id Software
115572,666184,id Software
34808,666184,id Software
407,666184,id Software
12568,666184,id Software
17604,666184,id Software
16797,666184,id Software
1038,666185,Saffire
5135,666190,Luxoflux
7760,666190,Luxoflux
7764,666190,Luxoflux
7763,666190,Luxoflux
3410,666194,Smilebit
4524,666197,Overworks
7677,666199,Genki
14553,666203,Koei
14552,666203,Koei
12986,666213,NuFX
7655,666226,Bethesda Softworks
8652,666226,Bethesda Softworks
79364,666226,Bethesda Softworks
13652,666226,Bethesda Softworks
18501,666226,Bethesda Softworks
10865,666230,Gremlin Interactive
16262,666230,Gremlin Interactive
16271,666230,Gremlin Interactive
536,666231,Crystal Dynamics
3479,666231,Crystal Dynamics
4586,666231,Crystal Dynamics
2603,666231,Crystal Dynamics
8620,666231,Crystal Dynamics
10887,666231,Crystal Dynamics
9856,666231,Crystal Dynamics
13319,666231,Crystal Dynamics
7680,666231,Crystal Dynamics
11054,666231,Crystal Dynamics
9745,666231,Crystal Dynamics
10560,666231,Crystal Dynamics
15633,666231,Crystal Dynamics
15634,666231,Crystal Dynamics
15070,666231,Crystal Dynamics
4536,666231,Crystal Dynamics
15071,666231,Crystal Dynamics
472,666232,Darkworks
5747,666232,Darkworks
7796,666232,Darkworks
8802,666232,Darkworks
10421,666232,Darkworks
12899,666232,Darkworks
4515,666240,Black Ops Entertainment
11369,666244,UEP Systems
5974,666246,N-Space
11151,666246,N-Space
12437,666246,N-Space
13380,666246,N-Space
509,666250,Polygon Magic
8582,666251,Psygnosis
3477,666256,Climax Entertainment
20775,666261,Hexa Drive
8976,666264,Atlus
8978,666264,Atlus
5299,666264,Atlus
8977,666264,Atlus
14512,666264,Atlus
20190,666264,Atlus
12109,666264,Atlus
12662,666264,Atlus
10989,666264,Atlus
16222,666264,Atlus
110597,666264,Atlus
12102,666264,Atlus
12663,666264,Atlus
13542,666273,Sony Computer Entertainment
11299,666277,Any Channel
573,666277,Any Channel
574,666278,Lobotomy Software
5419,666278,Lobotomy Software
10893,666278,Lobotomy Software
3943,666280,Red Storm Entertainment
4206,666280,Red Storm Entertainment
6741,666280,Red Storm Entertainment
7682,666280,Red Storm Entertainment
9582,666280,Red Storm Entertainment
12074,666280,Red Storm Entertainment
13305,666280,Red Storm Entertainment
73147,666280,Red Storm Entertainment
3118,666281,Avalanche Software
1116,666281,Avalanche Software
4188,666281,Avalanche Software
5583,666281,Avalanche Software
7969,666281,Avalanche Software
4453,666281,Avalanche Software
117819,666282,Nippon Ichi Software
6691,666283,Neversoft
622,666296,Monolith Productions
3612,666296,Monolith Productions
6302,666296,Monolith Productions
6780,666296,Monolith Productions
3893,666296,Monolith Productions
7180,666296,Monolith Productions
6310,666296,Monolith Productions
